Operating band	Frequency band	Common name	ULfrequenciesUE transmit (MHz)	DLfrequencies UE receive (MHz)	UARFCN UL channel number	additional	UARFCN DL channel number	additional	DL to UL frequency separation (MHz)	UARFCN offset (N = 5 * (c - offset))	UARFCN equation additonal
1	2100	IMT	1920 - 1980	2110 - 2170	18000 - 18599		0 - 599		190	0	0
2	1900	PCS-A-F	1850 - 1910	1930 - 1990	18600 - 19199 		600 - 1199		80	0	0
3	1800	DCS	1710 - 1785	1805 - 1880	19200 - 19949		1200 - 1949		95	0	0
4	1700	AWS-A-F	1710 - 1755	2110 - 2155	19950 - 20399		1950 - 2399		400	0	0
5	850	CLR	824 - 849	869 - 894	20400 - 20649		2400 - 2649		45	0	0
6	800		830 - 840	875 - 885	20650 - 20749	 	2650 - 2749		45	0	 0
7	2600	IMT-E	2500 - 2570	2620 - 2690	20750 - 21449		2750 - 3449		120	0	0
8	900	E-GSM	880 - 915	925 - 960	21450 - 21799		3450 - 3799		45	0	0
9	1800		1749.9 - 1784.9	1844.9 - 1879.9	21800 - 22149		3800 - 4149		95	0	0
10	1700	AWS-1+	1710 - 1770	2110 - 2170	22150 - 22749		4150 - 4749		400	0	0
11	1500	Lower	1427.9 - 1447.9	1475.9 - 1495.9	22750 - 22949		4750 - 4850		48	0	0
12	700	A	699 - 716	729 - 746	23010 - 23179		5010 - 5179 		30	0	0
13	700	C	777 - 787	746 - 756	23180 - 23279		5180 - 5279 		-31	0	0
14	700	PS	788 - 798	758 - 768	23280 - 23379		5280 - 5379 		-30	0	0
15		Reserved
16		Reserved
17	700	b D	704 - 710	734 - 746	23730 - 23849		5730 - 5849 		30	0	0
18	800	Lower D	815 - 830	860 - 875	23850 - 23999		5850 - 5999 		45	0	0
19	800	Upper	830 - 845	875 - 890	24000 - 24149		6000 - 6149		45	0	0
20	800	DD	832 - 862	791 - 821	24150 - 24449		6150 - 6449		-41	0	0
21	1500	1500 Upper	1447.9 - 1462.9	1495.9 - 1510.9	24450 - 24599		6450 - 6599		48	0	0
22	3500	3500	3410 - 3490	3510 - 3590	24600 - 25399		6600 - 7399		100	0	0
23	2000	S-Band	2000 - 2020	2180 - 2200	25500 - 25699		7500 - 7699		180	0	0
24	1600	L-Band	1626.5 - 1660.5	1525 - 1542	25700 - 26039		7700 - 8039		-101.5	0	0
25	1900	+	1850 - 1915	1930 - 1995	26040 - 26689		8040 - 8689		80	0	0
26	850	+	814 - 849	859 - 894	26690 - 27039		8690 - 9039		45	0	0
27	800	SMR	807 - 824	852 - 869	27040 - 27209		9040 - 9209		45	0	0
28	700	APT	703 - 748	758 - 803	27210 - 27659		9210 - 9659		55	0	0
29	700	APT		717 - 728			9660 - 9769			0	0	0
30	2300	WCS	2305 - 2315	2350 - 2360	27660 - 27759		9770 - 9869		45	0	0
31	450		452.5 - 457.5	462.5 - 467.5	27760 - 27759		9870 - 9919		10	0	0
32	1500	L-band		1452 - 1496			9920 - 10359		44	0	0
33	1900	TD		1900 - 1920			36000 - 36199		20	0	0
34	2000	TD		2010 - 2025			36200 - 36349		15	0	0
35	1800	TD PCS Lower		1850 - 1910			36350 - 36949		60	0	0
36	1900	TD PCS Upper		1930 - 1990			36950 - 37549		60	0	0
37	1900	TD PCS Center		1910 - 1930			37550 - 37749		20	0	0
38	2600	TD		2570 - 2620			37750 - 38249		50	0	0
39	1900	TD+		1880 - 1920			38250 - 38649		40	0	0
40	2300	TD		2300 - 2400			38650 - 39649		100	0	0
41	2500	TD		2496 - 2690			39650 - 41589		194	0	0
42	3500	TD		3400 - 3600			41590 - 43589		200	0	0
43	3700	TD		3600 - 3800			43590 - 45589		200	0	0
44	700	TD		703 - 803			45590 - 46589		100	0	0
65	2100		1920 – 2010	2110 – 2200	131072 - 131971		65536 - 66435		190	0	0
66	1700		1710 - 1780	2110 - 2200	131972 - 132671		66436 - 67335		400	0	0
67	700		 	738 - 758	 		67336 - 67535		0	0	0
68	700		698 - 728	753 - 783	132672 - 132971		67536 - 67835		55	0	0
69	2600		 	2570 - 2620			67836 - 68335		0	0	0
70	1700		1695 - 1710	1995 - 2020	132972 - 133121		68336 - 68585		295	0	0
71	600		663 - 698	617 - 652	133122 - 133471		68586 - 68935		-46	0	0
252	5200		 	5150 - 5250	 		255144 - 256143		100	0	0
255	5800		 	5725 - 5850	 		261519 - 262143		125	0	0
